"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer","rrppi","hfwh"
"1992-10-01",,,,,,,,,,24.3333333333333,,,
"1993-01-01",,,,,,,,,,24.5,,,
"1993-04-01",,,,,,,,,,23.88,,,
"1993-07-01",,,,,,,,,,22.46,,,
"1993-10-01",,,,,,,,,,22.25,,,
"1994-01-01",,,,,,,,,,21.21,96.5469647302393,,
"1994-04-01",,,,,,,,,,20.3766666666667,97.5788496454949,,
"1994-07-01",,,,,,,,,,21.3766666666667,97.8154601993115,,
"1994-10-01",,,,,,,,,,19.8333333333333,99.3567150568112,,
"1995-01-01",15334.1,22207.3,58.6735008717828,59.6840124976822,,,,,,18.5833333333333,99.26798609913,,
"1995-04-01",15574.6,22625.3,59.7607030685288,60.1636773250261,,,,,,17.6066666666667,101.427057402706,,
"1995-07-01",15784,23172.7,60.9520523400286,61.2824199519944,,,,,,16.21,99.4290127260329,,
"1995-10-01",16178.5,23612.5,62.4816492200406,61.9604604688723,,,,,,15.4366666666667,100.29001224131,,
"1996-01-01",16531.5,24208.9,63.7263493695046,63.6098587995135,59.8945687178429,,,,,15.1666666666667,100.138844387483,,
"1996-04-01",16924,24751.7,65.2237668478441,65.089135287725,60.8256236175398,,,,,14.8733333333333,104.197372636975,,
"1996-07-01",17545.4,25403.1,66.555256399042,66.2851217120104,61.7845726941198,,,,,14.4333333333333,104.013342206229,,
"1996-10-01",17731.3,26080.8,67.3309040429351,67.6435401933684,62.702280156405,,,,,13.26,105.705764917556,,
"1997-01-01",18029.4,26711.7,68.4001702665925,68.8071099617101,63.6741705709686,,,,,10.87,104.345254233111,,
"1997-04-01",18464.4,27386.9,69.0247532696346,69.4980605568674,64.2007142677745,,,,,9.13333333333333,103.694575210115,,
"1997-07-01",18858.8,28086.4,69.8170705934068,70.2418895040994,65.0290568180753,,,,,9.49333333333333,101.775400718047,,
"1997-10-01",19442.1,28857.4,70.6112573949349,71.5806862422716,65.6524189840941,,,,,10.18,105.344276571447,,
"1998-01-01",19958.2,29361.1,71.532056992105,71.909832634799,66.3525435917623,,8606.93697494918,84276.0709673241,100914.284101135,10.4466666666667,103.260789194785,,
"1998-04-01",20443.4,29968.8,72.5325259111103,73.2009629162862,67.4182098827266,10.9333333333333,9738.78574979139,86387.6166633512,101232.845690355,7.9,99.9778177605797,,
"1998-07-01",20467.9,30500.2,72.954602517171,74.3808146974256,68.1723258156609,11.1,10043.0131310828,83752.2736145403,102037.548904467,7.82666666666667,101.778686975739,,
"1998-10-01",20996.7,31097,73.6736914950852,75.5206194117471,68.2917188081573,11.3,10934.6936298016,86351.6685492302,108983.13722466,7.75666666666667,103.743869075494,,
"1999-01-01",21175.6,31397.8,73.8218121063528,75.6466126631794,68.4072691272331,11.4,11468.332341909,91195.3012437405,114179.278459272,6.08333333333333,104.729746383063,,204986.91
