"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer","rrppi","hfwh"
"1983-01-01",,,,,,8.16666666666667,,,,,,,
"1983-04-01",,,,,,8.76666666666667,,,,,,,
"1983-07-01",,,,,,9.33333333333333,,,,,,,
"1983-10-01",,,,,,9.3,,,,,,,
"1984-01-01",,,,,,9.4,,,,,,,
"1984-04-01",,,,,,9.53333333333333,,,,,,,
"1984-07-01",,,,,,9.66666666666667,,,,,,,
"1984-10-01",,,,,,9.83333333333333,,,,,,,
"1985-01-01",,,,,,9.63333333333333,,,,,,,
"1985-04-01",,,,,,9.8,,,,,,,
"1985-07-01",,,,,,9.96666666666667,,,,,,,
"1985-10-01",,,,,,10.0333333333333,,,,,,,
"1986-01-01",,,,,,10.1,,,,,,,
"1986-04-01",,,,,,9.8,,,,,,,
"1986-07-01",,,,,,9.2,,,,,,,
"1986-10-01",,,,,,8.93333333333333,,,,,,,
"1987-01-01",,,,,,8.63333333333333,,,,,,,
"1987-04-01",,,,,,8.2,,,,,,,
"1987-07-01",,,,,,7.73333333333333,,,,,,,
"1987-10-01",,,,,,7.46666666666667,,,,,,,
"1988-01-01",,,,,,7,,,,,,,
"1988-04-01",,,,,,6.93333333333333,,,,,,,
"1988-07-01",,,,,,6.33333333333333,,,,,,,
"1988-10-01",,,,,,6.36666666666667,,,,,,,
"1989-01-01",,,,,,6.2,,,,,,,
"1989-04-01",,,,,,6.06666666666667,,,,,,,
"1989-07-01",,,,,,5.96666666666667,,,,,,,
"1989-10-01",,,,,,5.8,,,,,,,
"1990-01-01",,,,,,5.86666666666667,,,,,,,
"1990-04-01",,,,,,5.46666666666667,,,,,,,
"1990-07-01",,,,,,5.76666666666667,,,,,,,
"1990-10-01",,,,,,5.4,,,,,,,
"1991-01-01",,,,,,5.03333333333333,,,,,,,
"1991-04-01",,,,,,4.9,,,,,,,
"1991-07-01",,,,,,5.2,,,,,,,
"1991-10-01",,,,,,5.03333333333333,,,,,,,
"1992-01-01",,,,,,4.8,,,,,,,
"1992-04-01",,,,,,4.9,,,,,,,
"1992-07-01",,,,,,5.03333333333333,,,,,,,
"1992-10-01",,,,,,5.23333333333333,,,,,,,
"1993-01-01",,,,,,5.7,,,,,,,
"1993-04-01",,,,,,6.2,,,,,,,
"1993-07-01",,,,,,6.5,,,,10.2563333333333,,,
"1993-10-01",,,,,,6.83333333333333,,,,9.28133333333333,,,
"1994-01-01",,,,,,7.3,,,,8.829,94.9384794498748,,
"1994-04-01",,,,,,7.56666666666667,,,,10.0183333333333,94.5498404402342,,
"1994-07-01",,,,,,7.66666666666667,,,,11.5006666666667,96.6136475948773,,
"1994-10-01",,,,,,7.8,,,,11.5663333333333,97.0123376133879,,
"1995-01-01",14148.4,21803.3,62.5408632159006,61.8167669189367,,7.96666666666667,,,,11.824,99.3944267155816,,
"1995-04-01",14517.7,22155.9,62.8999565195984,62.1005393510842,,7.9,,,,11.9933333333333,99.3776750341316,,
