"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer","rrppi","hfwh"
"1994-01-01",,,,,,,,,,,59.5680606500976,,
"1994-04-01",,,,,,,,,,,61.9072214586489,,
"1994-07-01",,,,,,,,,,,63.24138353658,,
"1994-10-01",,,,,,,,,,,65.5245165413336,,
"1995-01-01",603.4,968.5,40.5100765224255,36.8355901358865,,,,,,,68.4694779784468,,
"1995-04-01",633.2,972.7,39.2731763785652,37.0411647119468,,,,,,,71.8906757478399,,
"1995-07-01",667.6,980,39.8673849478507,37.8774125039546,,,,,,,67.517005313887,,
"1995-10-01",708.3,1010.2,40.0040856306231,38.8693781345126,,,,,,,66.8586786192648,,
"1996-01-01",750.7,1066,43.4976618809856,41.1193346810236,44.9573534829636,,,,,,69.8596678601756,,
"1996-04-01",762,1108.2,44.8765464786897,42.7397377969162,46.2539331979863,,,,,,71.3689168249744,,
"1996-07-01",801.4,1148.9,45.3946035076483,42.9383808758489,47.4017435100809,,,,,,71.9922261422231,,
"1996-10-01",805.3,1212.7,46.6613389007029,43.2397720573304,48.2817413722756,,,,,,73.5154820579713,,
"1997-01-01",839,1220.4,46.4217678701715,43.8281310300877,49.3744713783144,,,,,,76.0822558194504,,
"1997-04-01",876.4,1284.2,48.3186311744962,43.7019553890661,50.1091283001457,,,,,,77.8121142617024,,
"1997-07-01",895,1327,49.1372923179823,44.7011076567223,50.9243120892972,,,,,,79.7450734927208,,
"1997-10-01",945.3,1407.9,50.1121032853082,47.4926977719135,51.5639180642587,,,,,,79.4894466378941,,
"1998-01-01",957.4,1458.6,50.3802321555004,46.9772102384614,52.0802638772198,,,,,,81.5309597387704,,
"1998-04-01",952.7,1459.6,51.4695925340755,46.5919298989304,52.6349238615396,14.3666666666667,,,,,80.8656295686734,,
"1998-07-01",936.2,1481.5,51.4904421484447,45.8637627780785,52.9209610244863,14.1,,,,,81.9196526276165,,
"1998-10-01",921.3,1456.6,50.0903648932823,49.038994540712,52.9946254861076,13.7333333333333,,,,,86.6224864088804,,
"1999-01-01",937.9,1478,51.1934059863128,47.0310678659881,53.2455386674354,13.7666666666667,,,,,90.5374291992401,,
"1999-04-01",982,1485.1,51.395565855014,47.9224661960553,53.4377926506227,13.8333333333333,,,,,91.4934036015373,,
"1999-07-01",1033.5,1533.4,52.2275734255093,47.7257181623028,53.8826812310048,14.1333333333333,,,,,90.635477855886,,
"1999-10-01",1045,1597.4,54.7051514380061,48.391294010647,54.5182117859827,14.4333333333333,,,,,93.8395678855632,,
