"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m4","m4_ex","policy","sonia_1d","gov_10y","gov_20y","ukx","asx","reer","rrppi","xr_usd","hfwh"
"1709-04-01",,,,,,,,,,,,,,,,1.78302072014587,,,,
"1709-07-01",,,,,,,,,,,,,,,,1.84696184510712,,,,
"1709-10-01",,,,,,,,,,,,,,,,1.74485477646917,,,,
"1710-01-01",,,,,,,,,,,,,,,,1.82942805776951,,,,
"1710-04-01",,,,,,,,,,,,,,,,1.82668673033596,,,,
"1710-07-01",,,,,,,,,,,,,,,,1.67655282118208,,,,
"1710-10-01",,,,,,,,,,,,,,,,1.5583152021478,,,,
"1711-01-01",,,,,,,,,,,,,,,,1.58794175127336,,,,
"1711-04-01",,,,,,,,,,,,,,,,1.5855275850731,,,,
"1711-07-01",,,,,,,,,,,,,,,,1.56846752696196,,,,
"1711-10-01",,,,,,,,,,,,,,,,1.68983768442658,,,,
"1712-01-01",,,,,,,,,,,,,,,,1.64308689758872,,,,
"1712-04-01",,,,,,,,,,,,,,,,1.67685767802736,,,,
"1712-07-01",,,,,,,,,,,,,,,,1.66273187674198,,,,
"1712-10-01",,,,,,,,,,,,,,,,1.75384049741508,,,,
"1713-01-01",,,,,,,,,,,,,,,,1.8098472441118,,,,
"1713-04-01",,,,,,,,,,,,,,,,1.87637430212138,,,,
"1713-07-01",,,,,,,,,,,,,,,,1.90336526349833,,,,
"1713-10-01",,,,,,,,,,,,,,,,1.87693076231017,,,,
"1714-01-01",,,,,,,,,,,,,,,,1.77953801648468,,,,
"1714-04-01",,,,,,,,,,,,,,,,1.82590371027487,,,,
"1714-07-01",,,,,,,,,,,,,,,,1.93858484724577,,,,
"1714-10-01",,,,,,,,,,,,,,,,1.98889683534431,,,,
"1715-01-01",,,,,,,,,,,,,,,,1.98951437664454,,,,
"1715-04-01",,,,,,,,,,,,,,,,2.04961917185562,,,,
"1715-07-01",,,,,,,,,,,,,,,,1.97254754160571,,,,
"1715-10-01",,,,,,,,,,,,,,,,1.92276055443265,,,,
"1716-01-01",,,,,,,,,,,,,,,,1.97794595264284,,,,
"1716-04-01",,,,,,,,,,,,,,,,2.08124142548344,,,,
"1716-07-01",,,,,,,,,,,,,,,,2.13317771424052,,,,
"1716-10-01",,,,,,,,,,,,,,,,2.2592503936591,,,,
"1717-01-01",,,,,,,,,,,,,,,,2.21364176114524,,,,
"1717-04-01",,,,,,,,,,,,,,,,2.34925936018813,,,,
"1717-07-01",,,,,,,,,,,,,,,,2.48753454362299,,,,
"1717-10-01",,,,,,,,,,,,,,,,2.5274032218661,,,,
"1718-01-01",,,,,,,,,,,,,,,,2.62890809424474,,,,
"1718-04-01",,,,,,,,,,,,,,,,2.57395561975312,,,,
"1718-07-01",,,,,,,,,,,,,,,,2.47313068447684,,,,
"1718-10-01",,,,,,,,,,,,,,,,2.49630653990752,,,,
"1719-01-01",,,,,,,,,,,,,,,,2.58288017849585,,,,
"1719-04-01",,,,,,,,,,,,,,,,2.52742324666273,,,,
"1719-07-01",,,,,,,,,,,,,,,,2.4767418703375,,,,
"1719-10-01",,,,,,,,,,,,,,,,2.57475713749083,,,,
"1720-01-01",,,,,,,,,,,,,,,,3.19638352584042,,,,
"1720-04-01",,,,,,,,,,,,,,,,6.06642124271016,,,,
"1720-07-01",,,,,,,,,,,,,,,,6.35315184139781,,,,
"1720-10-01",,,,,,,,,,,,,,,,3.31558552502595,,,,
"1721-01-01",,,,,,,,,,,,,,,,2.97247687374317,,,,
"1721-04-01",,,,,,,,,,,,,,,,2.63898582494991,,,,
"1721-07-01",,,,,,,,,,,,,,,,2.69782843003088,,,,
"1721-10-01",,,,,,,,,,,,,,,,2.41126075974371,,,,
"1722-01-01",,,,,,,,,,,,,,,,2.35522822384628,,,,
"1722-04-01",,,,,,,,,,,,,,,,2.29146854139143,,,,
"1722-07-01",,,,,,,,,,,,,,,,2.24249162090532,,,,
"1722-10-01",,,,,,,,,,,,,,,,2.29950993683999,,,,
"1723-01-01",,,,,,,,,,,,,,,,2.29365777487128,,,,
"1723-04-01",,,,,,,,,,,,,,,,2.33526232323011,,,,
"1723-07-01",,,,,,,,,,,,,,,,2.42866309007281,,,,
"1723-10-01",,,,,,,,,,,,,,,,2.5229092472787,,,,
"1724-01-01",,,,,,,,,,,,,,,,2.63037635751208,,,,
"1724-04-01",,,,,,,,,,,,,,,,2.6654410760627,,,,
"1724-07-01",,,,,,,,,,,,,,,,2.65374642674955,,,,
"1724-10-01",,,,,,,,,,,,,,,,2.71302329371896,,,,
"1725-01-01",,,,,,,,,,,,,,,,2.68822422602256,,,,
"1725-04-01",,,,,,,,,,,,,,,,2.81501644855594,,,,
"1725-07-01",,,,,,,,,,,,,,,,2.86382705669104,,,,
"1725-10-01",,,,,,,,,,,,,,,,2.78073830963936,,,,
"1726-01-01",,,,,,,,,,,,,,,,2.53112651378081,,,,
"1726-04-01",,,,,,,,,,,,,,,,2.5326851872523,,,,
"1726-07-01",,,,,,,,,,,,,,,,2.53651927289464,,,,
"1726-10-01",,,,,,,,,,,,,,,,2.34658547371334,,,,
"1727-01-01",,,,,,,,,,,,,,,,2.44585258026208,,,,
"1727-04-01",,,,,,,,,,,,,,,,2.69807529469341,,,,
"1727-07-01",,,,,,,,,,,,,,,,2.71862901687023,,,,
"1727-10-01",,,,,,,,,,,,,,,,2.66332566321179,,,,
"1728-01-01",,,,,,,,,,,,,,,,2.77970077067302,,,,
"1728-04-01",,,,,,,,,,,,,,,,2.75101549177275,,,,
"1728-07-01",,,,,,,,,,,,,,,,2.69843800259268,,,,
"1728-10-01",,,,,,,,,,,,,,,,2.66275506880525,,,,
"1729-01-01",,,,,,,,,,,,,,,,2.64639696803024,,,,
"1729-04-01",,,,,,,,,,,,,,,,2.71021793395583,,,,
"1729-07-01",,,,,,,,,,,,,,,,2.76590761636539,,,,
"1729-10-01",,,,,,,,,,,,,,,,2.80640552650276,,,,
"1730-01-01",,,,,,,,,,,,,,,,2.82672187442351,,,,
"1730-04-01",,,,,,,,,,,,,,,,2.86635367242214,,,,
"1730-07-01",,,,,,,,,,,,,,,,2.85524391244847,,,,
"1730-10-01",,,,,,,,,,,,,,,,2.88280418626053,,,,
"1731-01-01",,,,,,,,,,,,,,,,2.89628157528163,,,,
"1731-04-01",,,,,,,,,,,,,,,,2.92777222987579,,,,
"1731-07-01",,,,,,,,,,,,,,,,2.91810109592086,,,,
"1731-10-01",,,,,,,,,,,,,,,,2.84103556259243,,,,
"1732-01-01",,,,,,,,,,,,,,,,2.83758141739814,,,,
"1732-04-01",,,,,,,,,,,,,,,,2.78955792166681,,,,
"1732-07-01",,,,,,,,,,,,,,,,2.79443196176595,,,,
"1732-10-01",,,,,,,,,,,,,,,,2.77352224853759,,,,
"1733-01-01",,,,,,,,,,,,,,,,2.81804269695164,,,,
"1733-04-01",,,,,,,,,,,,,,,,2.80986005301912,,,,
"1733-07-01",,,,,,,,,,,,,,,,2.59482077033635,,,,
"1733-10-01",,,,,,,,,,,,,,,,2.29727343127814,,,,
"1734-01-01",,,,,,,,,,,,,,,,2.28756102354646,,,,
"1734-04-01",,,,,,,,,,,,,,,,2.34928871086424,,,,
"1734-07-01",,,,,,,,,,,,,,,,2.41168776823531,,,,
"1734-10-01",,,,,,,,,,,,,,,,2.4256875148608,,,,
"1735-01-01",,,,,,,,,,,,,,,,2.47512501641577,,,,
"1735-04-01",,,,,,,,,,,,,,,,2.4500924732299,,,,
"1735-07-01",,,,,,,,,,,,,,,,2.46940045438605,,,,
"1735-10-01",,,,,,,,,,,,,,,,2.67752544259021,,,,
"1736-01-01",,,,,,,,,,,,,,,,2.79807779623618,,,,
"1736-04-01",,,,,,,,,,,,,,,,2.83195288669267,,,,
