"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","nowa_1d","nibor_3m","gov_10y","reer","rrppi","xr_usd","hfwh"
"1919-01-01",,,,,,,410.252140887993,4342.46498317876,,,,,,,,,
"1919-04-01",,,,,,,408.403041060755,4490.76171289626,,,,,,,,,
"1919-07-01",,,,,,,402.928103567872,4564.48485956191,,,,,,,,,
"1919-10-01",,,,,,,410.495437345128,4657.5193427438,,,,,,,,,
"1920-01-01",,,,,,,423.737264736404,4789.59318002161,,,,,,,,,
"1920-04-01",,,,,,,424.865591391811,4897.50417873765,,,,,,,,,
"1920-07-01",,,,,,,432.774338373157,4939.60979784015,,,,,,,,,
"1920-10-01",,,,,,,439.02864029323,5016.70013022204,,,,,,,,,
"1921-01-01",,,,,,,404.30289851868,5010.67324453958,,,,,,,,,
"1921-04-01",,,,,,,382.921293632521,4992.85554742056,,,,,,,,,
"1921-07-01",,,,,,,380.262149728192,5041.87213499377,,,,,,,,,
"1921-10-01",,,,,,,365.602320756111,5052.83526241521,,,,,,,,,
"1922-01-01",,,,,,,350.801226676429,5029.18715580788,,,,,,,,,
"1922-04-01",,,,,,,345.665485675734,5017.83780013267,,,,,,,,,
"1922-07-01",,,,,,,344.460105011627,4988.14270620759,,,,,,,,,
"1922-10-01",,,,,,,332.828607356543,4902.13324035547,,,,,,,,,
"1923-01-01",,,,,,,344.366204356679,4824.09664306758,,,,,,,,,
"1923-04-01",,,,,,,355.338874058023,4246.07822239707,,,,,,,,,
"1923-07-01",,,,,,,350.170064246758,4173.8692826251,,,,,,,,,
"1923-10-01",,,,,,,354.867305978644,4130.26318424339,,,,,,,,,
"1924-01-01",,,,,,,366.445542291033,4117.94737450919,,,,,,,,,
"1924-04-01",,,,,,,370.785796672739,4108.98092903619,,,,,,,,,
"1924-07-01",,,,,,,371.97805847862,4074.36009063773,,,,,,,,,
"1924-10-01",,,,,,,364.615569889554,4002.68385184469,,,,,,,,,
"1925-01-01",,,,,,,365.193967291348,3970.54761844195,,,,,,,,,
"1925-04-01",,,,,,,346.05197545132,3912.60317132305,,,,,,,,,
"1925-07-01",,,,,,,326.757061204559,3809.23274930845,,,,,,,,,
"1925-10-01",,,,,,,315.020983915895,3753.83735771912,,,,,,,,,
"1926-01-01",,,,,,,301.752675780456,3699.49353198764,,,,,,,,,
"1926-04-01",,,,,,,295.858428278959,3648.02062467378,,,,,,,,,
"1926-07-01",,,,,,,299.139142371627,3654.75966141038,,,,,,,,,
"1926-10-01",,,,,,,309.227698257592,3640.45000685703,,,,,,,,,
"1927-01-01",,,,,,,298.616704469801,3577.15997618146,,,,,,,,,
"1927-04-01",,,,,,,288.141948776199,3484.99976553168,,,,,,,,,
"1927-07-01",,,,,,,279.590245986092,3378.1992698964,,,,,,,,,
"1927-10-01",,,,,,,271.61439678995,3253.14581057071,,,,,,,,,
