"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","bm","policy","cr_1d","bb_3m","gov_10y","reer","rrppi","xr_usd","hfwh","hhwh"
"1957-01-01",,,,,,,,,,,,,,,0.714287986064378,,
"1957-04-01",,,,,,,,,,,,,,,0.714287986064378,,
"1957-07-01",,,,,,,,,,,,,,,0.714287986064378,,
"1957-10-01",,,,,,,,,,,,,,,0.714287986064378,,
"1958-01-01",,,,,,,,,,,,,,,0.714287986064378,,
"1958-04-01",,,,,,,,,,,,,,,0.714287986064378,,
"1958-07-01",,,,,,,,,,,,,,,0.714287986064378,,
"1958-10-01",,,,,,,,,,,,,,,0.714287986064378,,
"1959-01-01",,,,,,,,,,,,,,,0.714287986064378,,
"1959-04-01",,,,,,,,,,,,,,,0.714287986064378,,
"1959-07-01",,,,,,,,,,,,,,,0.714287986064378,,
"1959-10-01",,,,,,,,,,,,,,,0.714287986064378,,
"1960-01-01",,,,,,,,,,,,,,,0.714287986064378,,
"1960-04-01",,,,,,,,,,,,,,,0.714287986064378,,
"1960-07-01",,,,,,,,,,,,,,,0.714287986064378,,
"1960-10-01",,,,,,,,,,,,,,,0.714287986064378,,
"1961-01-01",,,,,,,,,,,,,,,0.714287986064378,,
"1961-04-01",,,,,,,,,,,,,,,0.714287986064378,,
"1961-07-01",,,,,,,,,,,,,,,0.714287986064378,,
"1961-10-01",,,,,,,,,,,,,,,0.719192666146129,,
"1962-01-01",,,,,,,,,,,,,,,0.719193999719194,,
"1962-04-01",,,,,,,,,,,,,,,0.719193999719194,,
"1962-07-01",,,,,,,,,,,,,,,0.719193999719194,,
"1962-10-01",,,,,,,,,,,,,,,0.719193999719194,,
"1963-01-01",,,,,,,,,,,,,,,0.719193999719194,,
"1963-04-01",,,,,,,,,,,,,,,0.719193999719194,,
"1963-07-01",,,,,,,,,,,,,,,0.719193999719194,,
"1963-10-01",,,,,,,,,,,,,,,0.719193999719194,,
"1964-01-01",,,,,,,,,,,,,,,0.719193999719194,,
"1964-04-01",,,,,,,,,,,,,,,0.719193999719194,,
"1964-07-01",,,,,,,,,,,,,,,0.719193999719194,,
"1964-10-01",,,,,,,,,,,,,,,0.719193999719194,,
"1965-01-01",,,,,,,,,,,,,,,0.719193999719194,,
"1965-04-01",,,,,,,,,,,,,,,0.719193999719194,,
"1965-07-01",,,,,,,,,,,,,,,0.719193999719194,,
"1965-10-01",,,,,,,,,,,,,,,0.719193999719194,,
"1966-01-01",,,,,,,,,,,,,,,0.719193999719194,,
"1966-04-01",,,,,,,,,,,,,,,0.719193999719194,,
"1966-07-01",,,,,,,,,,,,,,,0.719193999719194,,
"1966-10-01",,,,,,,,,,,,,,,0.719193999719194,,
"1967-01-01",,,,,,,,,,,,,,,0.719193999719194,,
"1967-04-01",,,,,,,,,,,,,,,0.719193999719194,,
"1967-07-01",,,,,,,,,,,,,,,0.719193999719194,,
"1967-10-01",,,,,,,,,,,,,,,0.777080332870684,,
