"date","gdp_nom","gdp_defl","cpi","ur","m1","m3","policy","ibr_3m","gov_10y","reer","xr_usd"
"1976-09-01",,,21.5814766273482,,,187181.881216092,6,,,,4.351899999
"1976-10-01",,,21.9309742245522,,,187307.578408052,8,,,,4.253299999
"1976-11-01",,,22.083879423329,,,186465.555277831,8,,,,4.214499999
"1976-12-01",,,22.1930974224552,,,184303.343508339,8,,,,4.160899999
"1977-01-01",,,22.3678462210572,,,187399.728235477,8,,,,4.212699999
"1977-02-01",,,22.6518130187855,,,188347.322589379,8,,,,4.246199999
"1977-03-01",,,22.870249017038,,,190148.117505764,8,,,,4.213599999
"1977-04-01",,,23.1542158147663,,,191994.694972472,8,,,,4.342899999
"1977-05-01",,,23.4381826124945,,,191682.351214453,8,,,,4.351599999
"1977-06-01",,,23.9405854084753,,,191060.261185659,8,,,,4.415999999
"1977-07-01",,,24.1590214067278,,,193629.516910236,8,,,,4.349599999
"1977-08-01",,,24.2027086063783,,,194035.102652284,8,,,,4.452399999
"1977-09-01",,,24.4866754041066,,,198012.184647556,8,,,,4.854299999
"1977-10-01",,,24.5958934032329,,,201862.581830143,8,,,,4.797599999
"1977-11-01",,,24.8361730013106,,,204236.227065352,8,,,,4.793199999
"1977-12-01",,,24.9890782000874,,,200823.336408838,8,,,,4.749599999
"1978-01-01",,,25.4914809960681,,,207869.508276334,8,,,,4.665099999
"1978-02-01",,,25.7754477937964,,,209296.242824941,7.5,,,,4.641899999
"1978-03-01",,,25.8409785932722,,,213281.872006172,7.5,,,,4.605799999
"1978-04-01",,,25.9938837920489,,,217193.902108148,7,,,,4.599699999
"1978-05-01",,,26.1249453910004,,,218750.13744245,7,,,,4.655699999
"1978-06-01",,,26.1686325906509,,,221655.548834025,7,,,,4.609599999
"1978-07-01",,,26.2778505897772,,,226465.614241764,6.5,,,,4.539699999
"1978-08-01",,,26.2341633901267,,,229472.766130197,6.5,,,,4.446199999
"1978-09-01",,,26.4525993883792,,,231300.902886935,6.5,,,,4.421499999
"1978-10-01",,,26.5618173875055,,,232538.347396206,6.5,,,,4.289799999
"1978-11-01",,,26.6710353866317,,,238605.308997507,6.5,,,,4.367999999
"1978-12-01",,,26.8457841852337,,,235415.368784694,6.5,,,,4.378699999
"1979-01-01",,,26.9986893840105,,,243472.112314983,6.5,,,,4.344999999
"1979-02-01",,,27.2389689820882,,,246033.723117422,6.5,,,,4.362599999
"1979-03-01",,,27.3481869812145,,,248927.764269163,6.5,,,,4.365899999
"1979-04-01",,,27.5229357798165,,,232745.616287126,6.5,,,,4.388899999
"1979-05-01",,,27.6758409785933,,,252588.011755264,6.5,,,,4.392799999
"1979-06-01",,,27.7850589777195,,,253901.143078648,6.5,,,,4.342199999
"1979-07-01",,,28.0253385757973,,,256777.591344162,7,,,,4.219599999
"1979-08-01",,,28.3966797728266,,,260297.356634321,7,,,,4.219799999
"1979-09-01",,,28.5277413717781,,,264563.101074656,8,,,,4.192199999
"1979-10-01",,,28.7898645696811,,,265255.047678906,8,,,,4.210599999
"1979-11-01",,,29.1830493665356,,,268933.056269877,9,,,,4.226199999
"1979-12-01",,,29.4670161642639,,,271985.223578447,9,,,,4.179199999
"1980-01-01",,,30.4281345565749,,,273423.414435506,10,,,,4.145999999
"1980-02-01",,,30.86500655308,,,274814.344191352,10,,,,4.168999999
"1980-03-01",,,31.039755351682,,,278441.547653691,10,,,,4.339599999
"1980-04-01",,,31.2581913499345,,,278491.381600937,10,,,,4.363899999
"1980-05-01",,,31.3674093490607,,,282480.624183997,10,,,,4.213799999
"1980-06-01",,,31.4329401485365,,,282676.513358084,10,,,,4.166499999
"1980-07-01",,,31.7169069462647,,,289735.894818619,10,,,,4.125799999
"1980-08-01",,,31.8698121450415,,,288543.480905668,10,,,,4.175399999
"1980-09-01",,,32.7653997378768,,,292144.787309659,10,,,,4.154199999
"1980-10-01",,,33.2678025338576,,,293059.566841454,10,,,,4.190599999
"1980-11-01",,,33.4425513324596,,,297168.499212415,10,,,,4.302099999
"1980-12-01",,,33.6173001310616,,,299072.522485497,10,,,,4.407999999
"1981-01-01",,,34.2070773263434,,,300226.942763459,12,,,,4.444399999
"1981-02-01",,,34.8842289209262,,,298629.207953775,12,,,,4.610399999
"1981-03-01",,,35.0371341197029,,,304483.624136725,12,,,,4.606999999
"1981-04-01",,,35.2555701179554,,,308862.763084464,12,,,,4.690099999
"1981-05-01",,,35.4958497160332,,,311605.718912902,12,,,,4.892699999
"1981-06-01",,,35.6050677151595,,,310602.321313138,12,,,,5.047999999
"1981-07-01",,,35.9327217125382,,,309412.452902157,12,,,,5.180699999
"1981-08-01",,,36.2166885102665,,,315515.950252737,12,,,,5.302399999
"1981-09-01",,,36.4788117081695,,,319530.020288928,12,,,,5.422299999
"1981-10-01",,,36.697247706422,,,324105.433932403,11,,,,5.536899999
"1981-11-01",,,36.8283093053735,,,321675.614550428,11,,,,5.483299999
"1981-12-01",,,36.6754041065968,,,337854.080995854,11,,,,5.543099999
"1982-01-01",,,37.4617737003058,,,336624.653810178,11,,,,5.618999999
"1982-02-01",,,37.9860200961118,,,343692.71825949,11,,,,5.758299999
"1982-03-01",,,38.0733944954128,,,344606.414541314,10,,,,5.831399999
"1982-04-01",,,38.3355176933159,,,348650.524057686,10,,,,5.912899999
"1982-05-01",,,38.5102664919179,,,349181.592160417,10,,,,5.774899999
"1982-06-01",,,38.6413280908694,,,361070.787182694,10,,,,6.012799999
"1982-07-01",,,38.9034512887724,,,357205.573486609,10,,,,6.112899999
"1982-08-01",,,38.9908256880734,,,360953.943655492,10,,,,6.137299999
"1982-09-01",,,39.2311052861512,,,358636.951344753,10,,,,6.220399999
"1982-10-01",,,39.7553516819572,,,364410.196319506,10,,,,7.153099999
"1982-11-01",,,40.083005679336,,,359596.649255601,10,,,,7.505799999
"1982-12-01",,,40.170380078637,,,362386.515410717,10,,,,7.352499999
"1983-01-01",,,41.1970292704238,3.4,,370232.908382043,9,,,,7.321099999
"1983-02-01",,,41.1096548711228,3.7,,378345.533838682,9,,,,7.431299999
"1983-03-01",,,41.2625600698995,3.7,,377214.886603486,9,,,,7.475699999
"1983-04-01",,,41.5902140672783,3.4,,375727.52514194,8.5,,,,7.483699999
"1983-05-01",,,41.830493665356,3.7,,376444.502199604,8.5,,,,7.493799999
"1983-06-01",,,42.0707732634338,3.9,,383158.1397157,8.5,,,,7.633099999
"1983-07-01",,,42.4202708606378,3.7,,386817.137916419,8.5,,,,7.685399999
"1983-08-01",,,42.5950196592398,3.8,,388304.491667824,8.5,,,,7.858399999
"1983-09-01",,,42.9226736566186,3.8,,392149.210382793,8.5,,,,7.874099999
"1983-10-01",,,43.2721712538226,3.7,,390447.592204302,8.5,,,,7.779799999
"1983-11-01",,,43.5342944517256,3.7,,390738.931401361,8.5,,,,7.912899999
"1983-12-01",,,43.8837920489297,3.6,,386337.592995017,8.5,,,,8.055999999
"1984-01-01",,,44.4954128440367,3.7,,390772.269944822,8.5,,,,8.168899999
"1984-02-01",,,44.3206640454347,3.4,,391897.26154469,8.5,,,,8.025099999
"1984-03-01",,,44.9759720401922,3.3,,395953.916842452,8.5,,,,7.728199999
"1984-04-01",,,45.2599388379205,3.5,,396571.461507194,8.5,,,,7.829499999
"1984-05-01",,,45.565749235474,3.3,,389958.748070329,8.5,,,,8.080699999
"1984-06-01",,,45.4346876365225,3.2,,388106.274402025,9.5,,,,8.096499999
"1984-07-01",,,45.565749235474,3.3,,393661.074898591,9.5,,,,8.3029
"1984-08-01",,,45.915246832678,3.2,,394630.279762404,9.5,,,,8.3551
"1984-09-01",,,46.2210572302315,2.9,,396011.213425031,9.5,,,,8.564
"1984-10-01",,,46.4394932284841,3.3,,400926.468607736,9.5,,,,8.6837
"1984-11-01",,,46.7234600262123,3,,403664.047760898,9.5,,,,8.5827
"1984-12-01",,,47.4879860200961,2.9,,413055.245963288,9.5,,,,8.844299999
"1985-01-01",,,47.7501092179991,3.1,,400255.901289698,9.5,,,,9.0641
"1985-02-01",,,48.1869812145042,2.9,,400848.52983067,9.5,,,,9.315599999
"1985-03-01",,,48.5364788117082,3,,398288.211467999,9.5,,,,9.414899999
"1985-04-01",,,48.7330712101354,3,,401459.678304208,9.5,,,,8.9672
"1985-05-01",,,49.301004805592,3,,397374.251848361,11.5,,,,9.008099999
"1985-06-01",,,49.1044124071647,2.9,,391713.081706626,11.5,,,,8.8507
"1985-07-01",,,49.0825688073394,2.8,,397330.515557989,10.5,,,,8.4919
"1985-08-01",,,49.0825688073394,2.8,,395522.94560208,10.5,,,,8.299699999
"1985-09-01",,,49.301004805592,2.8,,393682.802105665,10.5,,,,8.3924
"1985-10-01",,,49.6286588029707,2.6,,397043.043612756,10.5,,,,7.955
"1985-11-01",,,49.9344692005242,2.7,,396307.77333499,10.5,,,,7.8041
"1985-12-01",,,50.1310615989515,2.8,,409563.198082427,10.5,,,,7.6834
