"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer","rrppi","hfwh","hnfwh","hhwh"
"1943-04-01",,,,,,,,,,,0.38,,,,,,,,
"1943-07-01",,,,,,,,,,,0.38,,,,,,,,
"1943-10-01",,,,,,,,,,,0.38,,,,,,,,
"1944-01-01",,,,,,,,,,,0.38,,,,,,,,
"1944-04-01",,,,,,,,,,,0.38,,,,,,,,
"1944-07-01",,,,,,,,,,,0.38,,,,,,,,
"1944-10-01",,,,,,,,,,,0.38,,,,,,,,
"1945-01-01",,,,,,,,,,,0.38,,,,,,,,
"1945-04-01",,,,,,,,,,,0.38,,,,,,,,
"1945-07-01",,,,,,,,,,,0.38,,,,,,,,
"1945-10-01",,,,,,,,,,,0.38,,,,,,647873,189327000,134635
"1946-01-01",,,,,,,,,,,0.38,,,,,,,,
"1946-04-01",,,,,,,,,,,0.38,,,,,,,,
"1946-07-01",,,,,,,,,,,0.38,,,,,,,,
"1946-10-01",,,,,,,,,,,0.38,,,,,,701942,220716000,158074
"1947-01-01",39040.25,60791,11.8765006236172,11.4480611405331,9.15605053549183,,,,,,0.38,,,,,,,,
"1947-04-01",40007.75,61492,11.9716547188125,11.6108671466058,9.28685125742742,,,,,,0.38,,,,,,,,
"1947-07-01",40885.75,62396.25,12.1946346615491,11.8057944858061,9.48938140752125,,,,,,0.736666666666667,,,,,,,,
"1947-10-01",41918,64936.25,12.4985431761716,12.0969432023497,9.7580151482707,,,,,,0.906666666666667,,,,,,749850,280815000,206381
"1948-01-01",42593,66435.5,12.6368320153221,12.1926124279356,9.96476467649149,3.73333333333333,,,,,0.99,,,,,,,,
"1948-04-01",43535.5,68141.75,12.7679080166168,12.3024696838163,10.1236945859401,3.66666666666667,,,,,1,,,,,,,,
"1948-07-01",44268,69799,12.9635893997424,12.5296880975637,10.293876170394,3.76666666666667,,,,,1.05,,,,,,,,
"1948-10-01",44482,70091.5,12.9231202825053,12.5679572669497,10.1996433922253,3.83333333333333,,,,,1.14,,,,,,778441,313686000,229359
"1949-01-01",44207.75,68758.5,12.8226928839358,12.5010308016884,10.1025976953053,4.66666666666667,,,,,1.17,,,,,,,,
"1949-04-01",44611.5,67837.75,12.7444662108322,12.3756634687448,10.0913460203001,5.86666666666667,,,,,1.17,,,,,,,,
"1949-07-01",44451.5,68222.25,12.6700208049132,12.3184425816943,10.006958457761,6.7,,,,,1.04333333333333,,,,,,,,
"1949-10-01",45062.25,67656.75,12.6585092475828,12.319547788646,9.98304864837496,6.96666666666667,,,,,1.07666666666667,,,,,,802414,340071000,246931
"1950-01-01",45730,70207,12.6357126436281,12.3003105509406,9.95210654211062,6.4,,,,,1.10333333333333,,,,,,,,
"1950-04-01",46701.5,72595.75,12.6950777591456,12.3422670756855,10.0280553483958,5.56666666666667,,,,,1.15333333333333,,,,,,,,
"1950-07-01",50126.25,77038.25,12.9605000510711,12.6101615905532,10.2123015266062,4.63333333333333,,,,,1.22,,,,,,,,
"1950-10-01",49486.5,79986.25,13.1927921150826,12.846702116497,10.419051054827,4.23333333333333,,,,,1.33666666666667,,,,,,860949,387297000,278126
"1951-01-01",52301.75,84000,13.6141276232719,13.3106039051195,10.8423953268981,3.5,,,,,1.36666666666667,,,,,,,,
"1951-04-01",51235.5,86022.5,13.7244165505457,13.3989996761887,10.9478797800719,3.1,,,,,1.49,,,,,,,,
"1951-07-01",51904,87846.25,13.7433747677969,13.4068894355951,10.9422539425693,3.16666666666667,,,,,1.60333333333333,,,,,,,,
"1951-10-01",52897.5,89044.5,13.9253056390745,13.5600732198439,11.1039967707693,3.36666666666667,,,,,1.61,,,,,,935158,430932000,308963
"1952-01-01",53242.25,89955,13.9836646648994,13.5541156143989,11.1461905520388,3.06666666666667,,,,,1.56666666666667,,,,,,947980,437115000,311906
"1952-04-01",54272,90257.5,13.9803437679529,13.5706134950835,11.1757261989275,2.96666666666667,,,,,1.64666666666667,,,,,,963080,448848000,322754
"1952-07-01",54888.25,91925.25,14.0715933605242,13.7223969534163,11.2516750052127,3.23333333333333,,,,,1.78333333333333,,,,,,974296,453488000,324183
"1952-10-01",56917.5,95203,14.0945960652607,13.7598269563139,11.2643331395936,2.83333333333333,,,,,1.89333333333333,,,,,,972134,463998000,334895
"1953-01-01",57805,96995,14.1482129892248,13.7629682212401,11.2319845739536,2.7,,,,,1.98,,,,,,975879,472950000,340387
"1953-04-01",58240,97937.25,14.1693793656377,13.7900576855055,11.2741783552231,2.56666666666667,,,,,2.15333333333333,2.99666666666667,,,,,973578,481976000,347238
"1953-07-01",58416.5,97792.75,14.2462547323522,13.8476063557495,11.3262173521222,2.73333333333333,,,,,1.95666666666667,2.91666666666667,,,,,979636,493036000,357332
"1953-10-01",58278,96492.5,14.3084164197668,13.8734946072989,11.3459077833813,3.7,,,,,1.47333333333333,2.64333333333333,,,,,1003438,493418000,355919
"1954-01-01",58788.5,96336.25,14.3807128983114,13.9174951507925,11.3726305115187,5.26666666666667,,,,,1.06,2.44,,,,,1021202,498301000,357485
"1954-04-01",59471.25,96530.25,14.3612357810716,13.9302804330767,11.3543465396353,5.8,,,,,0.79,2.34666666666667,,,,,1043616,501395000,361814
"1954-07-01",60075.75,97749,14.3135006690116,13.9485825857151,11.3248108927466,5.96666666666667,,,1.04333333333333,1.03,0.883333333333333,2.34666666666667,,,,,1073841,510860000,371385
