"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer"
"1974-01-01",123494.206308836,24.94972966399,19.7466896341483,5.1,591400,859700,9.31,9.65,7.77,6.99,94.2090909090909,,
"1974-02-01",124073.061160057,25.1237601252666,19.957658540496,5.2,593100,864200,8.87,8.97,7.12,6.96,92.2036842105263,,
"1974-03-01",125234.982531103,25.3227389488953,20.1686274468437,5.1,595500,870100,9.95,9.35,7.96,7.21,94.9652380952381,,
"1974-04-01",126005.274638453,25.509436747298,20.2952087906524,5.1,596700,872900,11,10.51,8.33,7.51,89.5890476190476,,
"1974-05-01",127999.775499009,25.7105570389973,20.5061776970001,5.1,597300,874600,11.64,11.31,8.23,7.58,83.3972727272727,,
"1974-06-01",128508.949862535,25.9563507477437,20.6749528220783,5.4,598900,877800,13.31,11.93,7.9,7.54,81.0015,,
"1974-07-01",128942.047129374,26.1488764177436,20.801534165887,5.5,601000,881400,12.06,12.92,7.55,7.81,72.435,,
"1974-08-01",129322.807554662,26.5092722955228,21.0546968535042,5.5,602100,884100,11.6,12.01,8.96,8.04,66.5822727272727,,
"1974-09-01",131741.645315964,26.782290618776,21.3500533223911,5.9,603700,887900,11.11,11.34,8.06,8.04,58.642,,
"1974-10-01",133964.822723363,26.9164472198579,21.5188284474693,6,606500,893300,9.66,10.06,7.46,7.9,60.5752173913043,,
"1974-11-01",133386.079793763,27.279824704864,21.729797353817,6.6,609900,898600,9.47,9.45,7.47,7.68,63.9425,,
"1974-12-01",132568.847482871,27.5918487891486,21.8985724788952,7.2,612800,902100,3.87,8.53,7.15,7.43,59.1619047619048,,
"1975-01-01",134307.48996803,27.7005924082656,22.0673476039734,8.1,614900,906300,6.76,7.13,6.26,7.5,64.4572727272727,,
"1975-02-01",134495.384939512,27.8989542364702,22.193928947782,8.1,618900,914100,6.07,6.24,5.5,7.39,72.0831578947368,,
"1975-03-01",135226.125092455,28.0362372388917,22.2783165103211,8.6,624800,925000,5.39,5.54,5.49,7.73,75.057,,
"1975-04-01",136753.63179947,28.1466942997653,22.3627040728602,8.8,629700,935100,7.03,5.49,5.61,8.23,76.975,,
"1975-05-01",137272.169172077,28.2692573393205,22.4048978541298,9,638000,947900,5.23,5.22,5.23,8.06,81.847619047619,,
"1975-06-01",138937.449028449,28.460864026753,22.573672979208,8.8,648000,963000,5.97,5.55,5.34,7.86,84.6414285714286,,
"1975-07-01",140873.179154942,28.6791755899687,22.7846418855557,8.6,654400,975100,6.23,6.1,6.13,8.06,85.62,,
"1975-08-01",142228.932551372,28.7756385122172,22.8690294480948,8.4,658300,983100,6.13,6.14,6.44,8.4,78.407619047619,,
"1975-09-01",144352.888293685,28.9205668624365,23.037804573173,8.4,663400,991500,6.22,6.24,6.42,8.43,75.9147619047619,,
"1975-10-01",145438.208825626,29.0811237067057,23.1643859169816,8.4,666000,997800,5.65,5.82,5.96,8.14,77.2582608695652,,
