"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m3","policy","ibr_3m","gov_10y","reer","rrppi","xr_usd","hfwh"
"1917-04-01",,,,,3.38575797291394,,,,,,,,,,
"1917-07-01",,,,,3.7134119702927,,,,,,,,,,
"1917-10-01",,,,,4.30318916557449,,,,,,,,,,
"1918-01-01",,,,,4.5653123634775,,,,,,,,,,
"1918-04-01",,,,,4.93665356050677,,,,,,,,,,
"1918-07-01",,,,,5.48274355613805,,,,,,,,,,
"1918-10-01",,,,,6.05067715159458,,,,,,,,,,
"1919-01-01",,,,,5.94145915246833,,,,,,,,,,
"1919-04-01",,,,,5.76671035386632,,,,,,,,,,
"1919-07-01",,,,,5.76671035386632,,,,,,,,,,
"1919-10-01",,,,,5.78855395369157,,,,,,,,,,
"1920-01-01",,,,,5.74486675404107,,,,,,,,,,
"1920-04-01",,,,,5.85408475316732,,,,,,,,,,
"1920-07-01",,,,,6.13805155089559,,,,,,,,,,
"1920-10-01",,,,,5.89777195281782,,,,,,,,,,
"1921-01-01",,,,,5.22062035823504,,,,,,,,,,
"1921-04-01",,,,,4.89296636085627,,,,,,,,,,
"1921-07-01",,,,,4.78374836173001,,,,,,,,,,
"1921-10-01",,,,,4.41240716470074,,,,,,,,,,
"1922-01-01",,,,,4.15028396679773,,,,,,,,,,
"1922-04-01",,,,,4.01922236784622,,,,,,,,,,
"1922-07-01",,,,,4.01922236784622,,,,,,,,,,
"1922-10-01",,,,,3.84447356924421,,,,,,,,,,
"1923-01-01",,,,,3.80078636959371,,,,,,,,,,
"1923-04-01",,,,,3.73525557011796,,,,,,,,,,
"1923-07-01",,,,,3.82262996941896,,,,,,,,,,
"1923-10-01",,,,,3.80078636959371,,,,,,,,,,
"1924-01-01",,,,,3.77894276976846,,,,,,,,,,
"1924-04-01",,,,,3.7134119702927,,,,,,,,,,
"1924-07-01",,,,,3.80078636959371,,,,,,,,,,
"1924-10-01",,,,,3.91000436871997,,,,,,,,,,
"1925-01-01",,,,,3.91000436871997,,,,,,,,,,
"1925-04-01",,,,,3.86631716906946,,,,,,,,,,
"1925-07-01",,,,,3.84447356924421,,,,,,,,,,
"1925-10-01",,,,,3.80078636959371,,,,,,,,,,
"1926-01-01",,,,,3.73525557011796,,,,,,,,,,
"1926-04-01",,,,,3.73525557011796,,,,,,,,,,
"1926-07-01",,,,,3.7134119702927,,,,,,,,,,
"1926-10-01",,,,,3.7134119702927,,,,,,,,,,
"1927-01-01",,,,,3.6697247706422,,,,,,,,,,
"1927-04-01",,,,,3.6697247706422,,,,,,,,,,
"1927-07-01",,,,,3.73525557011796,,,,,,,,,,
"1927-10-01",,,,,3.69156837046745,,,,,,,,,,
"1928-01-01",,,,,3.7134119702927,,,,,,,,,,
"1928-04-01",,,,,3.75709916994321,,,,,,,,,,
"1928-07-01",,,,,3.73525557011796,,,,,,,,,,
"1928-10-01",,,,,3.69156837046745,,,,,,,,,,
"1929-01-01",,,,,3.69156837046745,,,,,,,,,,
"1929-04-01",,,,,3.6697247706422,,,,,,,,,,
"1929-07-01",,,,,3.6697247706422,,,,,,,,,,
"1929-10-01",,,,,3.6260375709917,,,,,,,,,,
"1930-01-01",,,,,3.5823503713412,,,,,,,,,,
"1930-04-01",,,,,3.56050677151595,,,,,,,,,,
"1930-07-01",,,,,3.53866317169069,,,,,,,,,,
"1930-10-01",,,,,3.49497597204019,,,,,,,,,,
"1931-01-01",,,,,3.47313237221494,,,,,,,,,,
"1931-04-01",,,,,3.42944517256444,,,,,,,,,,
"1931-07-01",,,,,3.40760157273919,,,,,,,,,,
"1931-10-01",,,,,3.40760157273919,,,,,,,,,,
"1932-01-01",,,,,3.38575797291394,,,,,,,,,,
"1932-04-01",,,,,3.38575797291394,,,,,,,,,,
"1932-07-01",,,,,3.38575797291394,,,,,,,,,,
"1932-10-01",,,,,3.34207077326343,,,,,,,,,,
"1933-01-01",,,,,3.27653997378768,,,,,,,,,,
"1933-04-01",,,,,3.27653997378768,,,,,,,,,,
"1933-07-01",,,,,3.32022717343818,,,,,,,,,,
"1933-10-01",,,,,3.27653997378768,,,,,,,,,,
"1934-01-01",,,,,3.29838357361293,,,,,,,,,,
"1934-04-01",,,,,3.32022717343818,,,,,,,,,,
"1934-07-01",,,,,3.34207077326343,,,,,,,,,,
"1934-10-01",,,,,3.34207077326343,,,,,,,,,,
"1935-01-01",,,,,3.34207077326343,,,,,,,,,,
"1935-04-01",,,,,3.38575797291394,,,,,,,,,,
"1935-07-01",,,,,3.40760157273919,,,,,,,,,,
