"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","policy","ibr_3m","gov_10y","reer","xr_usd"
"1998-11-01",,,72.8,4.8,374331.870842667,508326.718855092,622794.032345147,4.25,4.42964285714286,4.591,105.512710167282,6.3896
"1998-12-01",,,72.7,4.9,374853.624053253,516198.88595256,632087.098083029,3.95,4.23217391304348,4.268,105.666101391599,6.34754
"1999-01-01",,,72.6,5,379915.331292645,522345.429401571,628648.293099812,3.75,3.8875,4.035,104.848014861905,6.40769
"1999-02-01",,,73.2,5,383088.314688929,523752.860666931,625250.779425349,3.5,3.615,4.188,104.643493229482,6.63452
"1999-03-01",,,73.5,5,386491.608364028,525573.032618432,628870.728259833,3.4,3.45902173913043,4.432,104.081058740317,6.82524
"1999-04-01",,,73.7,5,391777.463960447,529824.54286091,633686.871881946,2.9,3.15977272727273,4.217,103.283424373866,6.94102
"1999-05-01",,,73.9,5,399104.938880615,535168.224142925,641006.856855177,2.9,3.10845238095238,4.461,103.170937476033,6.99139
"1999-06-01",,,74.1,4.9,390877.60760781,531986.48005777,634261.62415983,2.85,3.12670454545454,4.812,102.434659599308,7.15834
"1999-07-01",,,73.9,5,394170.815471674,538121.83081097,644577.024604084,2.85,3.17306818181818,5.115,101.954033763113,7.18705
"1999-08-01",,,74.3,5.3,400961.809941215,538677.822765089,650791.169346481,2.85,3.20727272727273,5.384,102.986868006851,7.01273
"1999-09-01",,,74.7,5.2,392286.565373308,531430.061251011,642416.256759581,2.85,3.17522727272727,5.555,102.53692041552,7.07755
"1999-10-01",,,74.8,5.3,389011.516159209,529318.472723125,641091.442078091,2.85,3.69071428571428,5.76,103.109580986306,6.937
"1999-11-01",,,74.9,5.3,394372.487553663,539683.293143667,655843.854705963,3.3,3.85261363636364,5.449,101.882451191765,7.18712
"1999-12-01",,,75,5.3,385776.420089329,535065.088779864,652114.273243675,3.3,3.79847826086957,5.5,100.726903968572,7.35523
"2000-01-01",107279.179222228,73.8398153986678,74.9,5,393241.355221088,530167.056934638,645652.154016932,3.3,3.71642857142857,5.869,100.471251928042,7.33583
"2000-02-01",107359.627920497,74.0757625849719,75.4,4.6,396182.542176184,536161.12090588,648355.745660068,3.6,3.93321428571429,5.847,99.9804000102261,7.56235
"2000-03-01",108877.992857276,74.3673952130561,75.9,4.4,403455.170200868,545026.511356641,657740.220397467,3.85,4.18478260869565,5.65,99.5100002556521,7.71573
