"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","ibr_3m","gov_10y","reer","rrppi","xr_usd","hfwh"
"1946-01-01",,,,,,,,,,3.5,,,,,,
"1946-04-01",,,,,,,,,,3.5,,,,,,
"1946-07-01",,,,,,,,,,3.5,,,,,,
"1946-10-01",,,,,,,,,,3.5,,,,,,
"1947-01-01",,,,,,,,,,3.5,,,,,,
"1947-04-01",,,,,,,,,,3.5,,,,,,
"1947-07-01",,,,,,,,,,3.5,,,,,,
"1947-10-01",,,,,,,,,,3.5,,,,,,
"1948-01-01",,,,,,,,,,3.5,,,,,,
"1948-04-01",,,,,,,,,,3.5,,,,,,
"1948-07-01",,,,,,,,,,3.5,,,,,,
"1948-10-01",,,,,,,,,,3.5,,,,,,
"1949-01-01",,,,,,,,,,3.5,,,,,,
"1949-04-01",,,,,,,,,,3.5,,,,,,
"1949-07-01",,,,,,,,,,3.5,,,,,,
"1949-10-01",,,,,,,,,,3.5,,,,,,
"1950-01-01",,,,,,,,,,3.5,,,,,,
"1950-04-01",,,,,,,,,,3.5,,,,,,
"1950-07-01",,,,,,,,,,4.5,,,,,,
"1950-10-01",,,,,,,,,,4.83333333333333,,,,,,
"1951-01-01",,,,,,,,,,5,,,,,,
"1951-04-01",,,,,,,,,,5,,,,,,
"1951-07-01",,,,,,,,,,5,,,,,,
"1951-10-01",,,,,,,,,,5,,,,,,
"1952-01-01",,,,,,,,,,5,,,,,,
"1952-04-01",,,,,,,,,,5,,,,,,
"1952-07-01",,,,,,,,,,5,,,,,,
"1952-10-01",,,,,,,,,,5,,,,,,
"1953-01-01",,,,,,,,,,5,,,,,,
"1953-04-01",,,,,,,,,,5,,,,,,
"1953-07-01",,,,,,,,,,4.83333333333333,,,,,,
"1953-10-01",,,,,,,,,,4.5,,,,,,
"1954-01-01",,,,,,,,,,4.5,,,,,,
"1954-04-01",,,,,,,,,,4.83333333333333,,,,,,
"1954-07-01",,,,,,,,,,5.5,,,,,,
"1954-10-01",,,,,,,,,,5.5,,,,,,
"1955-01-01",,,,,,,,,,5.5,,,,,,
"1955-04-01",,,,,,,,,,5.5,,,,,,
"1955-07-01",,,,,,,,,,5.5,,,,,,
"1955-10-01",,,,,,,,,,5.5,,,,,,
"1956-01-01",,,,,,,,,,5.5,,,,,,
"1956-04-01",,,,,,,,,,5.5,,,,,,
"1956-07-01",,,,,,,,,,5.5,,,,,,
"1956-10-01",,,,,,,,,,5.5,,,,,,
"1957-01-01",,,,,,,,,,5.5,,,,,6.90714000590714,
"1957-04-01",,,,,,,,,,5.5,,,,,6.90714000590714,
"1957-07-01",,,,,,,,,,5.5,,,,,6.90714000590714,
"1957-10-01",,,,,,,,,,5.5,,,,,6.90714000590714,
"1958-01-01",,,,,,,,,,5.5,,,,,6.90714000590714,
"1958-04-01",,,,,,,,,,5,,,,,6.90714000590714,
"1958-07-01",,,,,,,,,,4.66666666666667,,,,,6.90714000590714,
"1958-10-01",,,,,,,,,,4.5,,,,,6.90714000590714,
"1959-01-01",,,,,,,,,,4.5,,,,,6.90714000590714,
"1959-04-01",,,,,,,,,,4.5,,,,,6.90714000590714,
"1959-07-01",,,,,,,,,,4.66666666666667,,,,,6.90714000590714,
"1959-10-01",,,,,,,,,,5,,,,,6.90714000590714,
"1960-01-01",,,,,,,,,,5.5,,,,,6.90714000590714,
"1960-04-01",,,,,,,,,,5.5,,,,,6.90714000590714,
"1960-07-01",,,,,,,,,,5.5,,,,,6.90714000590714,
"1960-10-01",,,,,,,,,,5.5,,,,,6.90714000590714,
"1961-01-01",,,,,,,,,,5.5,,,,,6.90714000590714,
"1961-04-01",,,,,,,,,,6.16666666666667,,,,,6.90714000590714,
"1961-07-01",,,,,,,,,,6.5,,,,,6.90714000590714,
"1961-10-01",,,,,,,,,,6.5,,,,,6.90714000590714,
"1962-01-01",,,,,,,,,,6.5,,,,,6.90714000590714,
