"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer","rrppi","hfwh"
"1994-01-01",,,,,,,,,,,49.3752116638734,,
"1994-04-01",,,,,,,,,,,49.3439505379519,,
"1994-07-01",,,,,,,,,,,49.6635087140388,,
"1994-10-01",,,,,,,,,,,51.0598390052015,,
"1995-01-01",2461.3,4669.4,45.4700246914156,50.7506692067152,,,,,,,51.3481360553669,,
"1995-04-01",2542.8,5329.5,45.9040121779468,57.0409227346315,,,,,,,50.8340642068792,,
"1995-07-01",2628.2,4948.5,46.4150221145816,52.7313167339714,,,,,,,51.014684045537,,
"1995-10-01",2716.7,5080.4,46.9147848241115,53.1806330983216,,,,,,,51.5600170199463,,
"1996-01-01",2808.2,5297,47.52019664821,54.5910579499879,42.8315683905746,,,,,,51.6468534808395,,
"1996-04-01",2874.5,5462,48.0851875832066,55.709102381628,43.3469933541741,,,,,,51.4974947681032,,
"1996-07-01",2945.5,5641.2,48.460394344652,56.1866235503269,44.2254795300434,,,,,,51.257826136038,,
"1996-10-01",3003,5847.8,48.9019813759095,57.1776443298463,45.1646814065489,,,,,,51.577384312125,,
"1997-01-01",3040.9,5944.3,49.2789144027175,57.6309498187667,45.3997901856348,,,,,,52.7653070971439,,
"1997-04-01",3113.4,6085.7,49.9437349353647,58.1902195154303,46.0037735437124,,,,,,54.2276330985854,,
"1997-07-01",3169.7,6243.4,50.7594335911239,58.7565076988046,46.8489061925163,,,,,,54.9952674128813,,
"1997-10-01",3264.2,6305,51.607588278647,59.7155285750523,47.8858607160916,,,,,,55.7003794753341,,
"1998-01-01",3366.8,6471.9,52.1222128904881,60.2277876331089,48.6424815310411,12.1666666666667,,,,,56.4228588299655,,
"1998-04-01",3457.7,6608.5,52.910172436104,61.548055331828,49.3962034173622,12.3333333333333,,,,,56.6416867114164,,
"1998-07-01",3553.7,6746.4,53.7704913512691,63.4243185336091,49.7366558382197,13.0333333333333,,,,,55.0716834984673,,
"1998-10-01",3605.1,6969,54.5589623099625,60.9038433100438,50.8117282512958,13.3666666666667,,,,,52.0706154099983,,
"1999-01-01",3688.6,7019.7,55.8501416317109,63.57452004624,51.9424385758628,14.8,,,,,53.109179482281,,
"1999-04-01",3767.8,7132.8,56.6261719258645,65.7848922356007,52.716541246416,16.1,,,,,50.7923827056504,,
"1999-07-01",3855.5,7200.6,60.7156215329107,66.8876901404992,56.7970847272384,17.0333333333333,,,,,54.8007537404805,,
"1999-10-01",3945,7261,61.6877491489157,67.8173860698465,57.9289423969699,18.0333333333333,,,,,56.9299837615818,,
"2000-01-01",4058.4,7565.1,62.486955104268,69.976416219073,60.0666261819953,18.5,,,,,60.3235526532881,,
"2000-04-01",4194.1,7783.4,62.9663027947658,71.3540246174226,61.1595347880128,19.1666666666667,,,,,60.3826014466954,,
"2000-07-01",4291.3,8025.2,63.9258835193416,73.1981368678704,61.8978244700062,18.9666666666667,,,,,59.0105853645829,,
"2000-10-01",4424.2,8258.4,64.5783284184942,74.9701945927265,62.9466583416891,18.9666666666667,,,,,58.0553842947577,,
"2001-01-01",4547.7,8326.5,65.5373945851956,75.1357848063478,64.115075216174,19.3666666666667,,,,8.171711,59.7434850945215,,
"2001-04-01",4625.6,8540.4,66.8785156211663,76.3027899587821,65.6382758333394,19.5333333333333,,,,8.02271233333333,60.5250132425603,,
"2001-07-01",4772.2,8616.5,67.5696336091278,76.7399947496842,66.6531303539428,19.4666666666667,,,,8.04629803409287,60.9001467536189,,
"2001-10-01",4882.5,8823.9,68.3379051465324,76.9048102986703,67.2473183013119,19.4666666666667,,,,7.93267566666667,60.4034421973098,,
"2002-01-01",4960.2,9005.3,68.1812014784521,78.1890210185985,67.2014011733954,19,,,,7.36499966666667,61.90744969998,,
"2002-04-01",5087.7,9156.2,68.6652836170202,78.7533203267659,67.7870691053345,18.9333333333333,,,,7.66043987659923,60.8897263783117,,
"2002-07-01",5169.8,9466.7,69.2522273323789,79.6839650096926,68.512573006348,18.7666666666667,,,,7.15953866666667,60.4242829479242,,
"2002-10-01",5280,9644.1,70.1767654670847,80.77652698066,69.3476291593294,18.6,,,,5.55251466666667,63.8803740914735,,
"2003-01-01",5357.3,9855.1,72.4789695759181,81.3608946717476,72.2575420123459,18,,,,4.96912433333333,68.1318872168046,,
"2003-04-01",5466.8,10207.7,73.3799726604931,83.1063737070974,73.1535283408355,17.3333333333333,,,,4.77407633333333,70.0318689811478,,
"2003-07-01",5542.4,10404.8,74.3135896044767,84.4563166436011,74.649020538504,17.5,,,,4.914233,69.913771394333,,
"2003-10-01",5640.2,10743.4,74.6103142757879,85.7487285170592,75.7898184834187,17.9666666666667,,,,5.28602966666667,71.7824920327547,,
"2004-01-01",6147.2,11147.4,78.6623322659924,87.6854513911751,78.238857369734,18.9,,,,5.11913366666667,76.5758646740593,,22736.480828
"2004-04-01",6229.7,11264.5,79.0977210109214,88.03128555838,79.1338480256921,18.8,,,,5.09350266666667,76.6592276765168,,24113.902667
"2004-07-01",6351.7,11652.5,79.1853726977743,88.9752617390745,80.1496308637557,18.0333333333333,,,,5.03019826666667,76.7773252633316,,24850.384672
"2004-10-01",6451.9,11932.3,79.3465342291598,89.7635158928552,80.3934052640393,17.7,,,,4.86173916666667,77.5623268698061,,25327.581896
"2005-01-01",6566.4,12125.2,80.4969567808799,90.2401312371272,80.4723714129773,17.1333333333333,,,,3.81410612083333,80.0701638604017,,26413.451222
"2005-04-01",6682.4,12432.9,80.7221611839836,90.6216191905161,81.209313335922,16.5333333333333,,,,3.55144066666667,78.1458678870084,,27751.040674
"2005-07-01",6849,12711.3,81.1837027781576,91.1351060631468,81.8837225955601,16.0666666666667,,,,3.19749256666667,77.6213756632135,,28185.820656
"2005-10-01",7037.8,13006.5,82.59751223667,91.8542227437858,83.197497987856,15.7,,,,3.52327973333333,78.2987000581804,,28151.130026
"2006-01-01",7275.3,13365.9,83.7316053670373,91.9809909542946,83.9569320236242,14.6333333333333,17368.3383525562,27174.1269678632,28402.8194031712,3.78384238333333,81.6922689498867,86.7293075991163,28685.888784163
"2006-04-01",7488.6,13915.3,84.6520216975558,93.4948956716025,84.9696946636388,13.7,18352.6772196686,27887.6039847908,28501.7067854171,4.47969666666667,81.7791054107799,89.559517130825,29664.755637
"2006-07-01",7688.3,14274.9,85.9681318402089,94.0747330327668,85.8022405792734,13.0666666666667,18290.3839765853,29084.1818216629,30360.8444945073,5.11406036666667,81.6540609070937,91.6190474185613,30291.409164616
"2006-10-01",7878.5,14793,86.4322454987134,94.7791609438238,85.9576194349302,12.3666666666667,18923.0441007146,30391.1466274291,30500.5241941408,4.27112544583333,85.9958839517537,96.4437394678924,31783.756604
"2007-01-01",8036.4,15133,86.3096050097869,95.0119033980973,85.8206055625617,11.4333333333333,19496.0198327813,31592.5622072688,33389.6549984814,4.2573653,90.3168662457993,102.804737751179,32820.735131
"2007-04-01",8258.4,15513.7,87.1127478100413,95.0657083640215,86.4237285515018,11.3333333333333,19853.7931384022,33156.7899722244,32750.3866091056,4.44172033333333,91.5499439904827,109.615597150108,34206.205572
