"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","ml","policy","tona_1d","gov_9y","gov_10y","gov_20y","n225","reer","rrppi","xr_usd","hfwh"
"1946-01-01",,,,,,,,,,,3.29,,,,,,,,,
"1946-04-01",,,,,,,,,,,3.29,,,,,,,,,
"1946-07-01",,,,,,,,,,,3.29,,,,,,,,,
"1946-10-01",,,,,,,,,,,3.65,,,,,,,,,
"1947-01-01",,,,,,,,,,,3.65,,,,,,,,,
"1947-04-01",,,,,,,,,,,3.65,,,,,,,,,
"1947-07-01",,,,,,,,,,,3.65,,,,,,,,,
"1947-10-01",,,,,,,,,,,3.65,,,,,,,,,
"1948-01-01",,,,,,,,,,,3.65,,,,,,,,,
"1948-04-01",,,,,,,,,,,4.38,,,,,,,,,
"1948-07-01",,,,,,,,,,,5.11,,,,,,,,,
"1948-10-01",,,,,,,,,,,5.11,,,,,,,,,
"1949-01-01",,,,,,,,,,,5.11,,,,,,,,,
"1949-04-01",,,,,,,,,,,5.11,,,,,165.316470588235,,,,
"1949-07-01",,,,,,,,,,,5.11,,,,,157.629538461538,,,,
"1949-10-01",,,,,,,,,,,5.11,,,,,130.344754098361,,,,
"1950-01-01",,,,,,,,,,,5.11,,,,,102.010967741935,,,,
"1950-04-01",,,,,,,,,,,5.11,,,,,93.9628571428571,,,,
"1950-07-01",,,,,,,,,,,5.11,,,,,104.258615384615,,,,
"1950-10-01",,,,,,,,,,,5.11,,,,,106.496290322581,,,,
"1951-01-01",,,,,,,,,,,5.11,,,,,118.873220338983,,,,
"1951-04-01",,,,,,,,,,,5.11,,,,,126.249375,,,,
"1951-07-01",,,,,,,,,,,5.11,,,,,138.5246875,,,,
"1951-10-01",,,,,,,,,,,5.84,,,,,160.6,,,,
"1952-01-01",,,,,,,,,,,5.84,,,,,183.7025,,,,
"1952-04-01",,,,,,,,,,,5.84,,,,,212.203015873016,,,,
"1952-07-01",,,,,,,,,,,5.84,,,,,256.390461538462,,,,
"1952-10-01",,,,,,,,,,,5.84,,,,,328.273064516129,,,,
"1953-01-01",,,,,,1.86666666666667,,,,,5.84,,,,,400.470833333333,,,,
"1953-04-01",,,,,,1.96666666666667,,,,,5.84,,,,,339.571428571429,,,,
"1953-07-01",,,,,,1.8,,,,,5.84,,,,,395.815692307692,,,,
"1953-10-01",,,,,,1.7,,,,,5.84,,,,,424.29131147541,,,,
"1954-01-01",,,,,,1.83333333333333,,,,,5.84,,,,,351.967580645161,,,,
