"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","saron_1d","mmdrc_3m","gov_10y","smi","spi","reer","rrppi","xr_usd","hfwh","hhwh"
"1921-01-01",,,,,20.7153160940044,,,,,,,,,,,,,,,
"1921-04-01",,,,,19.948987688758,,,,,,,,,,,,,,,
"1921-07-01",,,,,19.1329527336579,,,,,,,,,,,,,,,
"1921-10-01",,,,,18.1872450677007,,,,,,,,,,,,,,,
"1922-01-01",,,,,17.099011813053,,,,,,,,,,,,,,,
"1922-04-01",,,,,15.7467155356487,,,,,,,,,,,,,,,
"1922-07-01",,,,,15.4877773911459,,,,,,,,,,,,,,,
"1922-10-01",,,,,15.4964643071961,,,,,,,,,,,,,,,
"1923-01-01",,,,,15.5853006061369,,,,,,,,,,,,,,,
"1923-04-01",,,,,15.9834035881917,,,,,,,,,,,,,,,
"1923-07-01",,,,,16.0701665028978,,,,,,,,,,,,,,,
"1923-10-01",,,,,16.1469177008143,,,,,,,,,,,,,,,
"1924-01-01",,,,,16.3825204373112,,,,,,,,5.21333333333333,,,,,,,
"1924-04-01",,,,,16.3886129316594,,,,,,,,5.39666666666667,,,,,,,
"1924-07-01",,,,,16.3964917315251,,,,,,,,5.34333333333333,,,,,,,
"1924-10-01",,,,,16.5438698670607,,,,,,,,5.29,,,,,,,
"1925-01-01",,,,,16.4914811831088,,,,,,,,5.15333333333333,,,,,,,
"1925-04-01",,,,,16.4626848004602,,,,,,,,5.12666666666667,,,,,,,
"1925-07-01",,,,,16.3904605032426,,,,,,,,4.98666666666667,,,,,,,
"1925-10-01",,,,,16.1535713780277,,,,,,,,4.94,,,,,,,
"1926-01-01",,,,,16.0094360683069,,,,,,,,4.78,,,,,,,
"1926-04-01",,,,,15.8460124193578,,,,,,,,4.77,,,,,,,
"1926-07-01",,,,,15.7043357110307,,,,,,,,4.74,,,,,,,
"1926-10-01",,,,,15.5752254077323,,,,,,,,4.89666666666667,,,,,,,
"1927-01-01",,,,,15.5372974666826,,,,,,,,4.73,,,,,,,
"1927-04-01",,,,,15.6035929395367,,,,,,,,4.76666666666667,,,,,,,
"1927-07-01",,,,,15.6102910532124,,,,,,,,4.83666666666667,,,,,,,
"1927-10-01",,,,,15.6592988190568,,,,,,,,4.84,,,,,,,
"1928-01-01",,,,,15.6411286238183,,,,,,,,4.67666666666667,,,,,,,
"1928-04-01",,,,,15.7133458195486,,,,,,,,4.73333333333333,,,,,,,
"1928-07-01",,,,,15.6539805037583,,,,,,,,4.78,,,,,,,
"1928-10-01",,,,,15.6880832734354,,,,,,,,4.73666666666667,,,,,,,
"1929-01-01",,,,,15.6925365747006,,,,,,,,4.66666666666667,,,,,,,
"1929-04-01",,,,,15.6828115570516,,,,,,,,4.64666666666667,,,,,,,
"1929-07-01",,,,,15.7154562393697,,,,,,,,4.68,,,,,,,
"1929-10-01",,,,,15.678922006182,,,,,,,,4.65666666666667,,,,,,,
"1930-01-01",,,,,15.581674974618,,,,,,,,4.39333333333333,,,,,,,
"1930-04-01",,,,,15.4767893988564,,,,,,,,4.29666666666667,,,,,,,
"1930-07-01",,,,,15.4261113680486,,,,,,,,3.90666666666667,,,,,,,
"1930-10-01",,,,,15.2089915587445,,,,,,,,3.86666666666667,,,,,,,
"1931-01-01",,,,,15.0468122262789,,,,,,,,3.79333333333333,,,,,,,
"1931-04-01",,,,,14.7250450743693,,,,,,,,3.8,,,,,,,
"1931-07-01",,,,,14.5260130213282,,,,,,,,3.87333333333333,,,,,,,
"1931-10-01",,,,,14.1796464346698,,,,,,,,4.01333333333333,,,,,,,
"1932-01-01",,,,,13.8847996103743,,,,,,,,3.87333333333333,,,,,,,
"1932-04-01",,,,,13.5954245227657,,,,,,,,3.74666666666667,,,,,,,
"1932-07-01",,,,,13.3219062708921,,,,,,,,3.75666666666667,,,,,,,
