"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","estr_1d","euribor_3m","gov_10y","sx5e","reer","rrppi","xr_usd","hfwh","hnfwh","hhwh"
"1970-01-01",68249.4986077646,122523.780070724,12.0816135331538,11.9574369482664,14.4048872160778,1.5723088,166300,297400,322000,,,7.986993218,7.92286533333333,,,,,,,
"1970-04-01",70126.2128144113,127468.906512735,12.2612346362405,12.2054338845989,14.5615204998184,1.5234821,168400,305200,331900,,,7.956545004,8.254439,,,,,,,
"1970-07-01",72164.7959885003,130932.28800452,12.468100007907,12.3878173805653,14.7283796652509,1.5737413,173100,314900,341100,,,7.602188806,8.384747,,,,,,,
"1970-10-01",74485.7101699775,134011.92175216,12.6239537279513,12.5274337815382,14.920557823541,1.5602564,178800,327600,346500,,,7.242308404,8.34093266666667,,,,,,,
"1971-01-01",76049.7432689661,137372.923434264,12.8008850649922,12.8641129668331,15.161972800956,1.5859755,183300,344700,359800,,,6.516898213,7.86062366666667,,,,0.972365128,,,
"1971-04-01",78332.3027467865,140711.292280386,12.9923150633075,13.0100692047439,15.4089172721676,1.6602434,189000,356400,373700,,,5.938637529,7.93076166666667,,,,0.967501374,,,
"1971-07-01",80293.8722819329,145022.427090786,13.2024694415062,13.2027646885716,15.6251338263842,1.662043,195700,371700,386400,,,6.226212562,8.02698133333333,,,,0.951682809,,,
"1971-10-01",82160.8394120168,148193.783056325,13.3554798147508,13.3850226475483,15.8690916889331,1.7905682,199700,384400,398200,,,6.005823296,7.84603,,,,0.927411266,,,
"1972-01-01",84939.2690820067,153755.374625297,13.5759874065755,13.6845718595921,16.1067444191344,1.9030049,207500,401300,412400,,,5.046600907,7.58765133333333,,,,0.887363974,,,
"1972-04-01",86438.2975352719,156972.367337812,13.7551007070089,13.8774482772553,16.3206002966982,1.9313086,215000,420700,431800,,,4.753677934,7.54970866666667,,,,0.882077456,,,
"1972-07-01",89812.1859499031,161381.775790832,14.0387128033012,14.0748159996839,16.6501079171385,1.9795788,222900,438200,448500,,,4.857332855,7.58278633333333,,,,0.89282742,,,
"1972-10-01",92434.3219139987,166731.925042366,14.3040680056026,14.3316359238044,17.0023753595956,1.9415225,226200,451200,462000,,,6.394842968,7.81468333333333,,,,0.903780556,,,
"1973-01-01",96311.0670801562,175349.546098441,14.5983895677606,14.7876748760177,17.3301304222048,1.8677913,233400,468000,477500,,,6.791362777,7.97584666666667,,,,0.865006786,,,
"1973-04-01",99965.500435499,181763.417003886,14.999266878207,15.1449413247645,17.7232618546825,2.0776026,235000,484700,494100,,,8.485433372,8.305181,,,,0.816771046,,,
"1973-07-01",103182.347142038,189318.230820122,15.4024460871576,15.5607378622224,18.1312748570196,1.8741403,235100,501700,507700,,,10.211200035,8.60193266666667,,,,0.76804483,,,
"1973-10-01",107523.206500931,195502.505336831,15.8925367752574,15.8953709405593,18.61935978886,1.901865,241400,521100,524400,,,11.082562958,8.71592566666667,,,,0.803514045,,,
"1974-01-01",111623.617725935,204130.833788626,16.4814986630269,16.4341866481842,19.2290248004653,1.9474786,245500,540500,540800,,,11.226946359,9.340291,,,,0.866909238,,,
"1974-04-01",116959.24963243,211666.851809285,17.1075593668809,17.0101178777091,19.8317610788521,1.9787452,249500,562000,556200,,,11.465486577,10.0644603333333,,,,0.828946612,,,
"1974-07-01",121419.599448715,220693.547478519,17.645457249249,17.615523221768,20.4719336396994,2.1283561,254400,568100,570600,,,11.524151691,10.6978833333333,,,,0.83865368,,,
"1974-10-01",124526.401593366,224496.117682904,18.2727629868823,18.2091892515878,21.1492184343205,2.5720169,263900,584500,589100,,,10.65978015,10.5871633333333,,,,0.825004699,,,
"1975-01-01",128302.747839487,228168.0237811,18.7040399325305,18.6813800702404,21.459931039079,2.8836494,267900,596100,605700,,,8.813935178,9.89851533333333,,,63.9255227377984,0.775022375,,,
"1975-04-01",133139.306487466,235083.441469931,19.1394689969459,19.1487144320583,21.9278844494272,3.2251342,276700,611500,623500,,,7.055312727,9.564945,,,63.6963136256264,0.770773306,,,
"1975-07-01",137774.287227712,242002.767946996,19.5675832522439,19.5377995445945,22.3774327463805,3.2750576,290900,639300,648900,,,6.382283317,9.441747,,,63.558809812467,0.830568022,,,
"1975-10-01",142710.49101559,249654.509857544,19.9972182325516,19.9447996613947,22.8176041615239,3.5450728,301400,664900,674400,,,6.598864929,9.28737933333333,,,63.06747728954,0.850290753,,,
"1976-01-01",148111.462442701,258972.363216994,20.4866502201943,20.3568273156712,23.3993511360496,3.5623845,306700,686300,697800,,,7.00077374,9.43077166666667,,,62.8120666633644,0.869432691,,,
"1976-04-01",154212.392900467,273178.217471515,21.17989525266,21.2008480416572,24.0275181325542,3.5984629,316000,708700,724000,,,8.567814704,10.1040356666667,,,64.2632191104315,0.903619671,,,
"1976-07-01",159529.341721591,283160.88688056,21.7416020675378,21.7921355834427,24.495772560167,3.5784341,320500,732500,746200,,,9.348489961,10.3256133333333,,,65.4599353677943,0.907726612,,,
"1976-10-01",165657.832532886,295105.656202039,22.3267915827196,22.352393373835,25.1927973035612,3.7186318,324100,758100,765900,,,9.205677893,10.43546,,,65.0880254479498,0.897869754,,,
"1977-01-01",170263.748312249,303341.344749633,22.8951518233075,22.8818676696966,25.8260389774304,3.7624329,334100,780800,791300,,,10.214431834,10.31093,,,64.7926629264547,0.89315357,,,
"1977-04-01",177203.03636209,313131.229924139,23.5220767995912,23.588562898798,26.4161303145589,3.9171594,344700,8e+05,815100,,,9.371813595,10.2230566666667,,,65.63663318124,0.886369796,,,
"1977-07-01",183001.809299527,320161.076191981,24.0995869870298,24.0991918299259,27.0306983887593,4.0733963,357900,832500,844100,,,8.998484223,10.0849066666667,,,66.5567177514987,0.874754955,,,
"1977-10-01",188421.255962039,331243.77982717,24.5671500324787,24.6386981369672,27.5276930348952,4.0895689,363100,851700,868800,,,9.12986131,9.98095333333333,,,67.0353826003,0.851982304,,,
"1978-01-01",192212.348263033,341280.25013999,24.9849272443624,25.2230428263447,27.9482199381502,4.0941349,375600,873600,896300,,,8.0570853,9.71678733333333,,,67.6314129085223,0.808144601,,,
"1978-04-01",198474.598472065,353511.370008053,25.5191030775816,25.8322643489161,28.4821883708242,4.2090462,384400,898400,926900,,,7.909355931,9.575315,,,68.2357800621095,0.80934809,,,
"1978-07-01",204529.155535377,363160.281584723,26.1024822541884,26.4136360012374,29.0131150626563,4.306015,396300,928600,961400,,,9.172121063,9.57666133333333,,,69.0257232281023,0.780292114,,,
"1978-10-01",211002.538248559,374921.287025964,26.6287421524877,26.9481187850666,29.5106990983057,4.3644159,406300,956500,988900,,,9.136764561,9.77118366666667,,,69.8284423389399,0.745242923,,,
