"date","pop","gdp_nom","gdp_defl","cpi","ur","narrow","broad","stir","ltir"
"1867-01-01",,,,,,906.440630792519,1617.30021207286,,
"1868-01-01",,,,,,877.682996566868,1586.78511373186,,
"1869-01-01",,,,,,873.081775090764,1668.15870930785,,
"1870-01-01",40.24063,7812,,5.51917799361958,,889.186050257128,1759.70400433085,5.72,5.439
"1871-01-01",41.098,7665,5.42094425688766,5.1676272287527,,898.388493209337,1942.79459437683,5.56,5.35666666666667
"1872-01-01",42.136,8309,5.64629557015054,5.1676272287527,,900.689103947388,2227.60217889281,8.38,5.56166666666667
"1873-01-01",43.174,8837,5.73110307363594,5.0619929845018,,916.793379113752,2339.4908728098,14.24,5.47916666666667
"1874-01-01",44.212,8563,5.61442269994417,4.81607646388577,,905.290325423492,2370.00597115079,3.43,5.10333333333333
"1875-01-01",45.245,8239,5.13325559642131,4.64030108145231,,872.542569449032,2573.43996009078,3.11,4.63
"1876-01-01",46.287,8388,5.15658626240061,4.53466683720146,,872.542569449032,2553.09656119678,3.35,4.46166666666667
"1877-01-01",47.325,8604,5.11137996346314,4.42945512992761,,872.542569449032,2481.89466506778,3.87,4.34916666666667
"1878-01-01",48.362,8460,4.81013694367942,4.21818664142584,,872.542569449032,2370.00597115079,4.22,4.23
"1879-01-01",49.4,9449,4.76576688753182,4.21818664142584,,999.201974691633,2553.09656119678,5.44,4.03666666666667
"1880-01-01",50.458,10462,4.70694745202917,4.32382088567671,,1154.00791443259,2919.27774128875,4.86,3.72666666666667
"1881-01-01",51.743,11740,5.09142655087227,4.32382088567671,,1294.74058692437,3519.40800866169,5.76,3.62666666666667
"1882-01-01",53.027,12331,5.03627420723404,4.32382088567671,,1336.9603886719,3610.95330368469,4.78,3.62916666666667
"1883-01-01",54.311,12435,4.98233955744512,4.25367974749414,,1379.18019041944,3885.58918875366,3.71,3.62083333333333
"1884-01-01",55.595,11896,4.69158463741652,4.14804550324326,,1407.32672491779,3855.07409041266,3.03,3.52833333333333
"1885-01-01",56.879,11705,4.58417823907369,4.07790436506069,,1407.32672491779,3977.13448377665,1.66,3.3825
"1886-01-01",58.164,12297,4.661364774122,3.97227012080981,,1421.39999216697,4282.28546718663,4.03,3.5075
"1887-01-01",59.448,13273,4.796841546355,4.0073406899011,,1491.76632841286,4546.7496528086,5.01,3.6575
"1888-01-01",60.732,14000,5.0839603042411,4.0073406899011,,1533.9861301604,4678.98174561959,2.51,3.46833333333333
"1889-01-01",62.016,13987,4.77819774306811,3.90212898262723,,1548.05939740957,4912.93083290057,4.48,3.4225
"1890-01-01",63.302,15223,5.11755298900724,3.83156530746765,4,1646.57226815382,5360.48560856853,5.84,3.60333333333333
"1891-01-01",64.612,15558,5.06936547410102,3.83156530746765,5.4,1716.93860439971,5553.74789806152,3.42,3.60166666666667
"1892-01-01",65.922,16514,5.15145891417111,3.83156530746765,3,1759.15840614724,6082.67626930547,3.08,3.7375
"1893-01-01",67.231,15566,4.87836615942299,3.79649473837636,11.7,1871.74454414067,5828.38378313049,4.57,3.70416666666667
"1894-01-01",68.541,14280,4.62344731122584,3.6207193559429,18.4,1759.15840614724,5889.41397981249,1.07,3.48
"1895-01-01",69.851,15754,4.54905795122348,3.55057821776033,13.7,1688.79206990135,6235.25176101046,1.88,3.58833333333333
"1896-01-01",71.161,15643,4.61189592507201,3.55057821776033,14.4,1745.08513889806,6062.33287041147,4.28,3.41666666666667
"1897-01-01",72.471,16309,4.43702757828862,3.51508511169204,14.5,1815.45147514395,6367.48385382144,1.75,3.35416666666667
"1898-01-01",73.781,18263,4.8431213340154,3.51508511169204,12.4,2012.47721663244,7074.9820598016,2.18,3.12083333333333
"1899-01-01",75.091,19694,4.66498585259923,3.51508511169204,6.5,2110.99008737669,8031.06071653155,5.08,3.14583333333333
"1900-01-01",76.391,20766,4.8245801693928,3.55057821776033,5,2350.23563061272,8489.97847176192,2.94,3.10416666666667
"1901-01-01",77.888,22484,4.64544564757246,3.58564878685162,4,2448.74850135696,9532.10420759757,4,3.17333333333333
"1902-01-01",79.469,24294,4.9354923807616,3.6207193559429,3.7,2561.33463935038,10306.5279195488,5.15,3.29
"1903-01-01",80.946,26180,5.1691153578047,3.72635360019378,3.9,2673.92077734381,10918.418259856,3.71,3.39166666666667
"1904-01-01",82.485,25928,4.93098002853857,3.76142416928507,5.4,2828.72671708476,11463.383094192,1.78,3.47333333333333
