"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","gov_10y","reer","rrppi","hfwh"
"1983-01-01",,,,,,3.26666666666667,,,,,,,
"1983-04-01",,,,,,3.46666666666667,,,,,,,
"1983-07-01",,,,,,3.6,,,,,,,
"1983-10-01",,,,,,3.33333333333333,,,,,,,
"1984-01-01",,,,,,3.26666666666667,,,,,,,
"1984-04-01",,,,,,2.93333333333333,,,,,,,
"1984-07-01",,,,,,2.96666666666667,,,,,,,
"1984-10-01",,,,,,2.93333333333333,,,,,,,
"1985-01-01",,,,,,2.83333333333333,,,,,,,
"1985-04-01",,,,,,3,,,,,,,
"1985-07-01",,,,,,2.9,,,,,,,
"1985-10-01",,,,,,2.8,,,,,,,
"1986-01-01",,,,,,2.76666666666667,,,,,,,
"1986-04-01",,,,,,2.7,,,,,,,
"1986-07-01",,,,,,2.46666666666667,,,,,,,
"1986-10-01",,,,,,2.33333333333333,,,,,,,
"1987-01-01",,,,,,2.5,,,,,,,
"1987-04-01",,,,,,2.56666666666667,,,,,,,
"1987-07-01",,,,,,2.43333333333333,,,,,,,
"1987-10-01",,,,,,2.3,,,,,,,
"1988-01-01",,,,,,2.23333333333333,,,,,,,
"1988-04-01",,,,,,2.03333333333333,,,,,,,
"1988-07-01",,,,,,1.93333333333333,,,,,,,
"1988-10-01",,,,,,1.8,,,,,,,
"1989-01-01",,,,,,1.7,,,,,,,
"1989-04-01",,,,,,1.76666666666667,,,,,,,
"1989-07-01",,,,,,1.86666666666667,,,,,,,
"1989-10-01",,,,,,1.83333333333333,,,,,,,
"1990-01-01",,,,,,1.76666666666667,,,,,,,
"1990-04-01",,,,,,1.7,,,,,,,
"1990-07-01",,,,,,1.56666666666667,,,,,,,
"1990-10-01",,,,,,1.6,,,,,,,
"1991-01-01",,,,,,1.5,,,,,,,
"1991-04-01",,,,,,1.56666666666667,,,,,,,
"1991-07-01",,,,,,1.66666666666667,,,,,,,
"1991-10-01",,,,,,1.8,,,,,,,
"1992-01-01",,,,,,1.9,,,,,,,
"1992-04-01",,,,,,2.03333333333333,,,,,,,
"1992-07-01",,,,,,2.13333333333333,,,,,,,
"1992-10-01",,,,,,2.2,,,,,,,
"1993-01-01",,,,,,2.23333333333333,,,,,,,
"1993-04-01",,,,,,2.43333333333333,,,,,,,
"1993-07-01",,,,,,2.8,,,,,,,
"1993-10-01",,,,,,2.96666666666667,,,,6.49666666666667,,,
"1994-01-01",,,,,,3.2,,,,6.494,99.9212751728984,,
"1994-04-01",,,,,,3.3,,,,7.08266666666667,100.459651409852,,
"1994-07-01",,,,,,3.13333333333333,,,,7.17433333333333,101.400963321003,,
"1994-10-01",,,,,,3,,,,7.85133333333333,102.064622078505,,
"1995-01-01",1721.2,3686.8,67.5841821971812,53.2740965250526,,2.86666666666667,,,,7.781,103.171848679031,,
"1995-04-01",1711.6,3827.6,67.7671951919137,55.1955841340314,,2.8,,,,7.343,104.048826322873,,
"1995-07-01",1671.8,3747.6,68.0351614559195,54.097695723737,,2.83333333333333,,,,7.03066666666667,102.796001117385,,
"1995-10-01",1666.7,3968.4,68.6856915421643,57.7558488745641,,2.9,,,,6.76666666666667,103.165076650893,,
"1996-01-01",1749.5,4038.8,68.5406765330414,58.2285950162148,65.4593141503955,3.03333333333333,,,,6.51066666666667,101.770038854511,,
"1996-04-01",1774.2,3897.1,68.9138416651738,55.5606397435407,65.5253522653003,3.06666666666667,,,,6.52033333333333,100.520599663092,,
"1996-07-01",1717,4119.8,68.99139300813,59.8058279587053,65.6513356065882,2.83333333333333,,,,6.37733333333333,100.547687775643,,
"1996-10-01",1807.7,3987.8,69.8325565164669,55.411502669755,65.8940144465016,2.8,,,,5.87466666666667,99.8603269196584,,
"1997-01-01",1769.1,4150.9,69.5034956496273,57.9031555368612,66.3695757700567,2.63333333333333,,,,5.585,98.1977940118341,,
"1997-04-01",1809.3,4282.7,70.070540168534,58.6645983372339,66.2535286750656,2.6,,,,5.66166666666667,97.4630289588853,,
"1997-07-01",1886.4,4449.2,70.215858063604,59.4154042758242,66.6117422203919,2.73333333333333,35968.7713395828,143500.273951401,179572.172227846,5.59633333333333,96.470926836701,,
"1997-10-01",1917.6,4463.3,70.6018148163349,58.7616872918314,66.921148264992,2.83333333333333,34903.0718512914,149692.902859052,188611.43880519,5.54866666666667,97.5679953950209,,
"1998-01-01",1935.9,4397.2,71.0400948139949,57.1834106035058,67.2453235492494,2.8,40858.633451676,154213.02499456,201307.119625482,5.09833333333333,97.2056918896498,,
"1998-04-01",1949.4,4447.4,70.7219178410806,56.6916798541302,67.0052537844695,2.76666666666667,42832.9102124309,155805.365034158,199319.385429161,4.997,97.0397772002743,,
"1998-07-01",1988.8,4522.7,71.1240888463639,56.9000180424146,67.2589150388408,2.63333333333333,44313.5472918038,157529.360989783,198762.608323483,4.58866666666667,97.805016379843,,
"1998-10-01",2025.6,4754.4,72.0933510897367,59.1189602639078,67.2238794526709,2.5,44590.1095239557,147964.068229688,182104.491198003,4.201,98.4720611514141,,23206.73
"1999-01-01",2063.3,4905,72.3073401655131,59.1158813882635,67.2313517402058,2.4,46221.4155295418,133705.739763804,156884.966295428,4.001,97.2530960866142,,23356.31
"1999-04-01",2105.4,5066,72.8439886239204,59.8410232205761,67.7952481788984,2.4,47017.637138494,132175.616945131,157898.544096604,4.17833333333333,96.9381967782076,,24505.22
"1999-07-01",2178,5258.8,72.9175127563801,60.4350406429773,67.8657983300418,2.4,46231.481091956,127788.759667338,146762.881040115,5.12066666666667,96.4167506115988,,23995.73
"1999-10-01",2151.6,5313.2,73.8933418441754,61.5132188765843,68.5765257136963,2.4,47952.887872441,128368.118357511,148102.997374881,5.355,96.7621240466254,,24560.95
"2000-01-01",2233.2,5656.1,74.1595928722622,62.428463554828,69.3008716991704,2.3,53900.2037588032,139904.200606066,177129.968536108,5.636,95.6041072350656,,26882.46
"2000-04-01",2282.8,5633.5,74.8255911493048,62.5602217374151,70.1270741517465,2.3,50752.8884755845,138936.702682753,179857.236379812,5.463,95.4043324050011,,26804.86
"2000-07-01",2306.4,5843.8,75.4248364899166,63.9437911094357,70.7213882363362,2.2,53066.1665881391,149538.798469947,183166.100984358,5.54433333333333,94.8354820414279,,27166.93
"2000-10-01",2385.6,5850.3,76.5911788347215,63.177530419451,71.5806830685137,2.06666666666667,56395.9776368967,149306.056358965,175115.027091968,5.42933333333333,95.1402233076278,,27595.54
"2001-01-01",2385.6,5903.6,76.4235017222154,63.1284729845721,71.3679316480581,1.9,52837.2672119237,144973.633065634,175213.487275203,5.02433333333333,95.7327757696833,,27629.11
"2001-04-01",2433.9,5860.6,77.0603412858118,63.3747376701573,72.2511217980181,1.83333333333333,56470.0555450729,147536.475472437,177911.971128865,5.16433333333333,95.2079435890056,,27989.58
"2001-07-01",2446.9,5915.6,77.4054769440797,63.2279595084691,72.3460581779475,1.86666666666667,57475.5744442396,146915.766583245,186821.598679164,4.84233333333333,95.5939491928589,,27279.64
"2001-10-01",2477.5,6191.4,77.4932977667949,64.2978081303003,72.5423540292497,2,56307.3266998392,152744.881352247,204108.266821862,4.405,96.2372918659477,,29285.11
"2002-01-01",2549.2,6164.2,76.9653116733226,63.9518032701806,72.8304359840531,2.2,54250.8772681484,151780.637504575,206369.969446296,4.96833333333333,95.2248736593501,,28711.88
"2002-04-01",2592.1,6327.5,78.4120596506978,64.9616635547422,73.287104140771,2.4,56582.0028967509,151662.818480807,205670.341854281,5.14566666666667,96.1323254298122,,29498.67
"2002-07-01",2626.2,6293.4,78.5976579239458,64.7080478705271,73.8253255114151,2.66666666666667,55018.3331087152,150970.556076034,205116.817032755,4.635,96.9754429329654,,29607.22
"2002-10-01",2629.4,6229.7,78.9060441392232,64.2686250939229,74.4957690641388,3,53316.359151257,148493.67289261,205278.530667725,4.06366666666667,97.7711562391542,,30363.78
"2003-01-01",2679.8,6389.8,80.0562712348318,65.9626474442751,75.2943340315154,3.3,53762.039506263,148919.656469773,193027.570376007,3.57466666666667,98.0420373646653,,30593.01
"2003-04-01",2685.4,6501.1,79.8174815306788,65.4096169991678,75.0446516776106,3.6,56527.9681317293,154471.211664137,203912.68544098,3.316,99.0917017260207,,31698.43
"2003-07-01",2757.9,6581.2,80.2340120373463,65.773913532275,75.486341529263,3.93333333333333,56964.1216479456,149931.868772168,198699.488035501,3.08366666666667,98.8546807411985,,31953.92
"2003-10-01",2785.6,6750.9,80.3602289011281,66.2324829982337,76.0659997212541,4.3,55439.2759973522,150842.202990643,200874.471930051,3.28966666666667,99.809536708625,,33823.05
"2004-01-01",2779.8,6885.5,81.1811247651579,66.9579308496855,77.0100086740076,4.73333333333333,58361.3468325641,154269.580210275,208782.673204639,2.88066666666667,99.9551353135872,,34076.63
"2004-04-01",2809.3,7009.2,81.9362203376496,67.4914044344973,77.5336586262045,5,57773.1012389526,150550.118330321,208432.725510281,2.97966666666667,99.5217255127695,,35509.59
"2004-07-01",2828.7,7184.3,82.1356433956686,68.6079132183553,78.1034674087644,5.1,62496.6255757466,153188.308131401,206127.866980936,2.907,99.4404611751162,,34434.68
